gameID,teamID,season,goals,goals_percent,shots,shotsOnTarget,fouls,corners,yellowCards,redCards,result
175,90,2015,2,104.03,13,3,18,5,1,0,W
176,83,2015,2,255.75,20,5,11,7,2,0,W
176,72,2015,1,37.3,10,5,14,5,0,1,L
177,77,2015,3,237.97,9,3,12,1,0,0,W
177,86,2015,0,141.74,21,8,10,10,2,1,L
178,73,2015,1,49.06,11,3,8,4,0,0,L
178,82,2015,5,343.31,14,9,15,5,1,0,W
179,89,2015,0,39.18,6,1,17,6,2,0,D
179,88,2015,0,31.07,6,1,13,4,2,0,D
180,87,2015,1,68.28,15,2,8,10,1,0,D
180,74,2015,1,156.38,8,3,11,7,0,1,D
181,80,2015,1,73.58,8,2,9,1,1,0,L
181,87,2015,3,83.93,16,7,21,7,4,0,W
182,78,2015,0,93.91,10,5,12,7,3,0,D
182,89,2015,0,39.44,5,1,15,3,3,0,D
183,88,2015,2,283.56,21,5,4,12,2,0,W
183,79,2015,1,117.5,5,3,13,4,2,1,L
184,86,2015,0,126.08,15,6,6,11,1,0,D
184,85,2015,0,138.02,9,2,16,4,3,0,D
185,84,2015,0,26.44,7,3,12,4,2,0,L
185,83,2015,3,217.66,14,5,7,4,0,0,W
186,90,2015,2,161.54,20,5,16,7,3,0,W
186,81,2015,0,60.56,8,3,12,2,0,1,L
187,76,2015,2,150.45,14,6,3,6,0,0,L
187,75,2015,3,222.55,13,5,11,4,2,0,W
188,72,2015,6,234.85,15,8,6,6,3,0,W
188,77,2015,2,121.83,17,9,5,1,2,0,L
189,74,2015,2,115.97,11,2,5,4,0,1,W
189,73,2015,0,71.21,16,2,5,6,2,0,L
190,82,2015,3,114.37,17,6,6,4,0,0,W
190,71,2015,1,32.57,13,2,15,3,3,0,L
191,73,2015,0,100.43,20,5,9,16,2,0,L
191,86,2015,1,50.44,2,1,11,0,2,0,W
192,75,2015,2,156.39,12,6,10,4,0,0,W
192,90,2015,1,100.53,8,4,10,2,1,0,L
193,89,2015,2,127.79,13,3,11,5,1,0,W
193,76,2015,0,59.4,4,0,10,1,3,1,L
194,79,2015,1,119.52,9,5,12,5,1,0,W
194,84,2015,0,40.23,8,0,7,2,0,0,L
195,81,2015,1,58.96,16,5,11,3,1,0,D
195,72,2015,1,108.81,13,4,12,5,2,0,D
196,77,2015,0,29.91,9,3,3,10,1,0,L
196,74,2015,1,179.58,14,5,7,11,3,0,W
197,85,2015,1,82.54,8,2,13,1,3,0,W
197,80,2015,0,102.64,19,4,10,9,1,0,L
198,71,2015,0,18.27,3,0,7,3,1,0,D
198,88,2015,0,153.28,13,3,7,8,1,0,D
199,83,2015,1,201.77,10,4,12,7,0,0,D
199,82,2015,1,90.59,14,4,17,6,1,0,D
200,87,2015,1,215.67,22,4,7,14,1,0,L
200,78,2015,2,84.93,9,4,6,6,2,0,W
201,90,2015,1,147.08,10,5,6,4,1,0,L
201,89,2015,2,130.26,13,6,12,10,2,0,W
202,84,2015,2,188.53,11,4,7,4,3,0,D
202,73,2015,2,158.51,16,4,9,5,2,0,D
203,74,2015,0,70.95,15,1,8,7,2,0,L
203,85,2015,1,119.5,16,4,8,3,0,0,W
204,76,2015,2,33.29,4,1,14,3,3,0,W
204,83,2015,1,208.96,11,3,10,5,2,0,L
205,86,2015,0,37.24,9,1,9,4,4,0,L
205,75,2015,3,327.48,18,7,12,9,1,0,W
206,72,2015,4,283.07,16,9,6,2,0,0,W
206,71,2015,0,32.21,10,3,9,3,0,0,L
207,80,2015,1,216.49,21,7,4,6,1,0,W
207,79,2015,0,20.28,4,2,12,5,4,0,L
208,88,2015,1,108.61,11,3,5,11,0,0,L
208,87,2015,4,261.7,14,9,13,5,3,0,W
209,82,2015,4,322.35,22,12,13,7,2,0,W
209,81,2015,1,81.89,10,4,9,6,2,0,L
210,78,2015,0,69.62,19,7,18,11,1,0,L
210,77,2015,1,130.74,12,4,11,2,3,0,W
211,77,2015,2,86.35,18,5,4,9,0,0,W
211,85,2015,0,79.46,7,3,10,5,2,1,L
212,71,2015,2,148.97,12,6,6,10,2,0,L
212,90,2015,3,145.18,14,6,13,10,3,0,W
213,73,2015,3,169.11,19,10,6,10,2,0,D
213,72,2015,3,72.9,11,6,6,5,0,0,D
214,78,2015,5,167.84,19,8,7,7,1,0,W
214,86,2015,1,79.13,7,2,13,5,1,0,L
215,88,2015,3,212.33,16,9,14,6,2,0,W
215,74,2015,1,124.48,12,8,11,4,1,0,L
216,75,2015,1,87.63,7,3,5,1,0,0,D
216,89,2015,1,105.61,10,2,7,8,1,0,D
217,82,2015,0,33.35,9,4,14,4,4,0,D
217,80,2015,0,28.34,5,1,9,4,2,0,D
218,81,2015,1,141.4,17,6,15,5,0,0,D
218,76,2015,1,86.63,7,3,16,2,2,0,D
219,87,2015,1,119.36,10,2,12,8,3,0,W
219,84,2015,0,36.75,9,0,6,7,1,0,L
220,79,2015,1,101.03,7,2,8,3,1,0,D
220,83,2015,1,165.7,12,3,6,6,1,0,D
221,85,2015,2,201.44,7,4,9,1,0,0,W
221,88,2015,0,48.38,11,4,10,6,1,0,L
222,84,2015,0,78.06,10,2,3,3,2,0,L
222,75,2015,3,220.96,16,5,19,8,3,0,W
223,90,2015,2,207.2,14,7,11,4,3,0,W
223,79,2015,0,31.05,7,1,10,1,3,0,L
224,76,2015,1,148.7,11,4,13,3,3,0,D
224,82,2015,1,112.88,9,3,10,6,2,0,D
225,83,2015,3,229.56,16,7,7,3,1,0,W
225,77,2015,1,152.28,11,4,11,2,1,0,L
226,89,2015,0,176.06,21,1,9,6,1,0,D
226,81,2015,0,110.21,9,2,13,2,0,0,D
227,74,2015,1,286.05,23,5,4,10,1,0,D
227,71,2015,1,105.8,9,2,9,4,2,0,D
228,80,2015,0,166.95,19,6,10,11,2,0,L
228,73,2015,1,125.91,15,5,13,4,1,0,W
